Category	Text
Consulta	¿Tienen paquetes para Machu Picchu?
Consulta	Quisiera información sobre los tours a la selva amazónica.
Consulta	¿Cuál es el precio de un viaje a Cancún para dos personas?
Consulta	Necesito saber los requisitos de visa para viajar a Estados Unidos.
Consulta	¿Hay descuentos para grupos en los paquetes a Europa?
Consulta	Me gustaría reservar un hotel en Cusco para la primera semana de agosto.
Consulta	¿Cuáles son las opciones de vuelo más económicas a Madrid?
Consulta	¿Puedo pagar a plazos un crucero por el Caribe?
Consulta	Información sobre paquetes familiares a Disney.
Consulta	¿Tienen disponibilidad para el tour a Nazca el próximo fin de semana?
Consulta	Quiero saber si incluyen seguro de viaje en sus paquetes.
Consulta	¿Es posible personalizar un itinerario para un viaje a la Patagonia?
Consulta	¿Ofrecen traslados desde el aeropuerto al hotel?
Consulta	¿A qué hora sale el primer bus a Paracas?
Consulta	¿Cuánto cuesta el tour por el Cañón del Colca?
Consulta	¿Qué atracciones se pueden visitar en Arequipa?
Consulta	Estoy buscando un paquete todo incluido en Punta Cana.
Consulta	¿Hay vuelos directos a Cartagena desde Lima?
Consulta	¿Tienen tours de aventura en Huaraz?
Consulta	Me interesan los paquetes para luna de miel en el Caribe.
Consulta	¿Cuál es la mejor época para viajar a la Sierra de la Plata?
Consulta	¿Se puede extender la duración de un paquete turístico?
Consulta	¿Qué actividades hay para niños en los hoteles de playa?
Consulta	¿Necesito alguna vacuna para viajar a Tailandia?
Consulta	¿Cómo puedo contactar a un asesor de viajes?
Consulta	¿Dónde están ubicadas sus oficinas?
Consulta	¿Cuál es su horario de atención?
Consulta	¿Aceptan tarjetas de crédito como forma de pago?
Consulta	¿Es necesario un pasaporte para viajar dentro de Sudamérica?
Consulta	¿Tienen promociones para Semana Santa?
Consulta	Quisiera un presupuesto para un viaje a Galápagos.
Consulta	¿Pueden recomendarme un destino para una escapada de fin de semana?
Consulta	¿Qué tipo de moneda se usa en Chile?
Consulta	¿Ofrecen paquetes para el mundial de fútbol?
Consulta	¿Hay tours gastronómicos en Lima?
Consulta	¿Cómo hago para cancelar una reserva?
Consulta	¿Cuál es la política de devolución de dinero?
Consulta	¿Tienen convenios con alguna aerolínea?
Consulta	¿Puedo hacer un cambio en mi itinerario de vuelo?
Consulta	¿Cuánto tiempo antes debo reservar para obtener mejores precios?
Consulta	¿Hay opciones de viaje para personas con movilidad reducida?
Consulta	¿Se pueden agregar noches extras a un paquete?
Consulta	¿Cómo puedo obtener una factura por mi compra?
Consulta	¿Ofrecen servicio de alquiler de autos?
Consulta	¿Tienen guías turísticos bilingües?
Consulta	¿Es seguro viajar a Colombia en este momento?
Consulta	¿Cuál es el voltaje en Argentina?
Consulta	¿Hay paquetes de viaje con alojamiento en hoteles boutique?
Consulta	¿Cómo puedo verificar el estado de mi reserva?
Consulta	¿Tienen programas de fidelización para clientes frecuentes?
Consulta	¿Cuáles son los destinos más populares para este año?
Consulta	¿Ofrecen paquetes para grupos escolares?
Consulta	¿Aceptan pagos con PayPal?
Consulta	¿Se puede incluir el desayuno en la reserva del hotel?
Consulta	¿Tienen alguna oferta para viajar en temporada baja?
Consulta	¿Cuál es el límite de equipaje en vuelos internacionales?
Consulta	¿Puedo llevar a mi mascota en el avión?
Consulta	¿Necesito adaptadores de corriente para viajar a Europa?
Consulta	¿Hay tours que incluyan visitas a viñedos?
Consulta	¿Cómo llego al aeropuerto desde el centro de la ciudad?
Consulta	¿Tienen paquetes para el festival de la Candelaria?
Consulta	¿Me pueden enviar información por correo electrónico?
Consulta	¿Cuál es la edad mínima para viajar solo?
Consulta	¿Hay opciones de viaje para mochileros?
Consulta	¿Cómo se tramita la visa de turista para Cuba?
Consulta	¿Tienen tours para ver auroras boreales?
Consulta	¿Cuánto tiempo dura el viaje en tren a Ollantaytambo?
Consulta	¿Cuáles son las restricciones de viaje por COVID-19?
Consulta	¿Ofrecen asistencia en destino?
Consulta	¿Cómo se gestiona una emergencia médica en el extranjero?
Consulta	¿Tienen vuelos a islas paradisíacas?
Consulta	¿Puedo hacer un pago parcial y luego el resto?
Consulta	¿Hay alguna excursión a la selva cerca de Tarapoto?
Consulta	¿Cuál es la diferencia entre un paquete turístico y un viaje a medida?
Consulta	¿Puedo reservar solo el vuelo?
Consulta	¿Tienen seguro de cancelación de viaje?
